,링크,공고명,기관명,마감일,채용직급,장애인 채용 / 우대,본문,근무지역
32,https://www.gojobs.go.kr/apmView.do?empmnsn=241144&selMenuNo=400&menuNo=401&upperMenuNo=,2024년도 제17회 광주광역시 임기제공무원 경력경쟁임용시험(동물사육) 시행계획 변경 공고,광주광역시,2024-12-24,8급 1명,해당없음,첨부파일 2-2. 2024년도 제17회 광주광역시 임기제공무원 경력경쟁 임용시험 시행계획 변경 공고(동물사육).hwp 2-2. 2024년도 제17회 광주광역시 임기제공무원 경력경쟁 임용시험 시행계획 변경 공고(동물사육).pdf 광주광역시인사위원회 공고 제2024-98호 2024년도 제17회 광주광역시 임기제공무원 경력경쟁임용시험 시행계획 변경 공고 2024년도 제17회 광주광역시 임기제공무원 경력경쟁임용시험 계획을 다음과 같이 변경 공고하오니 참신하고 유능한 인재의 많은 응모를 바랍니다. ○ 분야: 동물사육 ○ 변경사유: 임용자격 기준 수정 ※ 자세한 사항은 첨부문서를 참고하시기 바랍니다. 2024년 12월 12일 광주광역시인사위원회위원장,
33,https://www.gojobs.go.kr/apmView.do?empmnsn=241145&selMenuNo=400&menuNo=401&upperMenuNo=,2024년 경찰청 세검정로 별관 기간제근로자(청사방호직) 서류전형 합격자 및 면접시험 일정 공고,경찰청,2024-12-12,청사방호 2명,해당없음,첨부파일 241212 경찰청 세검정로 별관 기간제근로자 서류전형 합격자 및 면접시험 일정.hwp 2024년 경찰청 세검정로 별관 기간제근로자(청사방호 공무직) 모집에 대한 서류전형 합격자 및 면접시험 시행 일정을 공고합니다. 2024년 12월 12일 경 찰 청 장,
34,https://www.gojobs.go.kr/apmView.do?empmnsn=241146&selMenuNo=400&menuNo=401&upperMenuNo=,2025년 국립국제교육원 특수외국어 교육 진흥사업 기간제 근로자 채용 공고,교육부 국립국제교육원,2024-12-18,기간제 근로자 2명,해당없음,"첨부파일 2025년 국립국제교육원 특수외국어 교육 진흥사업 기간제 근로자 채용 공고.pdf 지원서식 1~5호.hwp [국립국제교육원 공고 제 2024-214호] 교육부 직속 책임운영기관인 국립국제교육원에서 특수외국어 교육 진흥사업 지원 업무 등을 수행할 기간제 근로자를 공개 모집하니, 역량 있는 전문 인력의 많은 관심과 지원을 바랍니다. ○ 채용분야: 행정원 2명 ○ 접수기간: 2024. 12. 12.(목) ~ 2024. 12. 18.(수) 15:00까지 ○ 채용기간: 2025. 1. 1. ~ 2025. 12. 31. ○ 근무지: 국립국제교육원(성남시 분당구) ○ 접수방법: 이메일 접수(cfledu@korea.kr) ○ 선발방법: 서류심사, 면접심사 ○ 담당부서(연락처): 외국어교육지원팀 02-3668-1420",
35,https://www.gojobs.go.kr/apmView.do?empmnsn=241147&selMenuNo=400&menuNo=401&upperMenuNo=,통계청 정부혁신담당(공모 직위) 임용후보자 명단 발표,특허청,1999-01-01,,해당없음,"첨부파일 2024-464호 통계청 정부혁신담당(공모 직위) 임용후보자 발표.pdf 통계청 정부혁신담당(공모 직위) 임용후보자 명단을 발표합니다. 자세한 사항은 첨부한 공고문을 참고하시기 바랍니다. 문의처 : 인사혁신처 개방교류과 (044) 201-8352, 8358~8359",
36,https://www.gojobs.go.kr/apmView.do?empmnsn=241148&selMenuNo=400&menuNo=401&upperMenuNo=,2024년도 제2회 서울노원우체국 주관 우체국소포원(공무직) 채용 공고,과학기술정보통신부 우정사업본부 서울지방우정청 서울노원우체국,2024-12-19,공무직 우체국 소포원 1명,해당없음,첨부파일 2024년도 제2회 우체국소포원(공무직) 채용 공고.hwpx 2024년도 제2회 우체국소포원(공무직) 채용 공고.pdf <서울노원우체국 공고 제2024-13호> 2024년도 제2회 서울노원우체국 주관 공무직 우체국소포원 채용 공고 2024년 제2회 서울노원우체국 주관 공무직 우체국소포원 채용 계획을 붙임과 같이 공고합니다. 1. 채용직종 : 우체국소포원(공무직) 2. 채용인원 : 1명 3. 서류접수기간 : 2024. 12. 17.(화) ~ 2024. 12. 19.(목) 4. 기타 자세한 내용은 붙임의 공고문을 반드시 확인하여 주시고 문의사항은 인사담당(02-950-3272)으로 전화주시기 바랍니다. 2024. 12. 12. 서울노원우체국장,
37,https://www.gojobs.go.kr/apmView.do?empmnsn=241149&selMenuNo=400&menuNo=401&upperMenuNo=,문화체육관광부 공무직 근로자(통번역원) 채용 공고,문화체육관광부,2025-01-03,공무직 1명,해당없음,첨부파일 문화체육관광부 국제관광과 공무직 근로자(통번역원) 채용 공고.hwp ○ 모집분야 : 통번역원 ○ 채용인원: 1명 ○ 고용형태 : 정규직 ○ 접수기간 : 2024년 12월 30일(월) ~ 2025년 1월 3일(금) ○ 문의처 : 044-203-2837 * 자세한 사항은 공고문을 확인하여 주시기 바랍니다.,
38,https://www.gojobs.go.kr/apmView.do?empmnsn=241150&selMenuNo=400&menuNo=401&upperMenuNo=,24년 2차 광진경찰서 기간제근로자[영양사] 채용 공고,경찰청 서울특별시경찰청 서울광진경찰서,2024-12-23,영양사(공무직) 1명,해당없음,"첨부파일 24년 2차 광진경찰서 기간제근로자(영양사) 채용 공고.hwp 서울광진경찰서에서는 기간제근로자(영양사 공무직) 채용 계획을 아래와 같이 공고하오니 성실하고 능력있는 분들의 많은 지원 바랍니다. 1. 채용분야 : 기간제근로자(공무직, 영양사) 2. 채용인원 및 기간 : 1명/ 채용일(\25.1.2.)로부터 1년 3. 근무지 : 서울 광진구 자양로167 서울광진경찰서 4. 업무내용 : 경찰서 구내식당(식단표 작성, 식자재 검수 및 위생관리 등) 5. 접수기간 : 2024. 12. 12.(목) ~ 12. 23.(월) 18:00 6. 접수방법 : 서울광진경찰서 경무계 방문 접수 및 우편(등기), 이메일 접수 * 이메일 주소: ghdl308@police.go.kr * 등기우편 분실 등을 방지하고자 등기 우편 접수 하는 경우 사전연락 必 7. 문의사항 : 02-2285-7124(공무직채용담당) 응시자격 등 자세한 사항은 첨부파일 공고문을 참조하여 주시기 바랍니다.",: 서울 광진구 자양로167 서울광진경찰서
39,https://www.gojobs.go.kr/apmView.do?empmnsn=241151&selMenuNo=400&menuNo=401&upperMenuNo=,2024년 제2회 보성우체국 상시계약집배원(농어촌소포배달원) 채용 공고,과학기술정보통신부 우정사업본부 전남지방우정청 보성우체국,2024-12-19,공무직 2명,해당없음,"첨부파일 2024년 제2회 보성우체국 농어촌소포배달원 채용시험 공고(안) .pdf 응시 원서 및 기타서류.hwp <보성우체국 공고 제2024-2호> 2024년 제2회 보성우체국 상시계약집배원(농어촌소포배달원) 채용 계획을 다음과 같이 공고합니다. 2024. 12. 12. 보성우체국장 1. 채용직종: 상시계약집배원(농어촌소포배달원) 공무직 2. 채용인원: 2명 3. 근무지: 보성우체국1명, 복내우체국1명 4. 시험방법 ㅇ 1차: 서류전형 ㅇ 2차: 실기시험 ㅇ 3차: 면접시험 5. 서류접수 기간: 2024. 12. 13.(금) ~ 2024. 12. 19.(목) 18:00까지 6. 서류전형 합격자 발표: 2024. 12. 20.(금) 7. 실기 및 면접시험: 2024. 12. 26.(목) 8. 최종합격자 발표: 2024. 12. 27.(금) 9. 서류 접수 방법: 방문접수 및 등기우편 제출(우편제출은 접수 마감일 도착분까지 유효) 10. 접수처: 전남 보성군 보성읍 동산길9 , 보성우체국 우편물류과 인사담당 제출 서류 등 기타 자세한 사항은 붙임 공고문을 참고하여 주시기 바랍니다. 문의전화) 061-850-6212",
40,https://www.gojobs.go.kr/apmView.do?empmnsn=241152&selMenuNo=400&menuNo=401&upperMenuNo=,2025년 해양환경공단 체험형 청년인턴(장애인 제한경쟁) 채용 공고,해양환경공단,2024-12-27,체험형 청년인턴 12명,채용,"첨부파일 채용공고문.pdf 직무 설명자료(사무행정 보조).pdf (참고1) 채용관련 유의사항.pdf (참고2) 입사지원서 작성 시 유의사항.pdf 별지서식.zip [공고명] 2025년 해양환경공단 체험형 청년인턴(장애인 제한) 채용 [채용직급] 체험형 청년인턴 [채용인원] 총 12명 [응시자격] 장애인, 청년(15세 이상 34세 이하), 학력 및 전공 무관, 성별 및 병역 무관 [접수기간] 2024. 12. 12.(목) ~ 2024. 12. 27.(금) 12:00(정오) [접수방법] 온라인 입사지원(https://2024koem.recruiter.co.kr/career/job) [선발절차] 입사지원서 접수 -> 서류전형 -> 면접전형 -> 합격자 발표 및 임용 [채용분야] 사무행정 보조 [채용관련 문의] 해양환경공단 인재경영처 / 02-3498-8659 * 채용 관련 자세한 사항은 채용공고문 및 직무설명자료를 참조하여 주시기 바랍니다.",
41,https://www.gojobs.go.kr/apmView.do?empmnsn=241153&selMenuNo=400&menuNo=401&upperMenuNo=,2024년 제9회 의무직공무원 경력경쟁채용시험 최종합격자 공고,보건복지부 국립부곡병원,2024-12-15,부이사관(일반임기제) 1명,해당없음,첨부파일 2024년 제9회 의무직 공무원 경력경쟁채용시험 최종합격자 공고.pdf 관련서식.zip 국립부곡병원 공고 제2024-106호 2024년 제9회 의무직공무원 경력경쟁채용시험 최종합격자를 붙임과 같이 공고합니다. 2024. 12. 13. 국립부곡병원장,
42,https://www.gojobs.go.kr/apmView.do?empmnsn=241154&selMenuNo=400&menuNo=401&upperMenuNo=,2024년 국립수목원 시설8급 한시임기제 국가공무원 경력경쟁채용시험 공고,산림청 국립수목원,2024-12-24,시설서기(한시임기제8호) 1명,해당없음,첨부파일 2024년 국립수목원 시설8급 한시임기제 국가공무원 경력경쟁채용시험 공고문.hwpx 2024년 국립수목원 시설8급 한시임기제 국가공무원 경력경쟁채용시험 공고문.pdf 2024년 국립수목원 시설8급 한시임기제 국가공무원 경력경쟁채용시험을 붙임과 같이 공고합니다.,
43,https://www.gojobs.go.kr/apmView.do?empmnsn=241155&selMenuNo=400&menuNo=401&upperMenuNo=,구산중학교 보건과 기간제교사 채용 계획,인천광역시교육청 인천광역시북부교육지원청 구산중학교,2024-12-17,기간제교사 1명,해당없음,"첨부파일 구산중학교 기간제교사 채용계획(보건 재공고).hwp 필수 입력 사항 : 채용분야(직급), 채용인원, 채용기간, 근무 예정지, 원서접수기간, 담당부서(연락처) 채용분야(직급): 기간제교사(보건) 채용인원: 1명(보건 교원자격증 소지자) 채용기간:2025.03.01.~2025.05.29.(90일) 근무 예정지: 구산중학교 원서접수기간:2024.12.13.~2024.12.17. 12:00시 담당부서(연락처):구산중학교 교무기획부 032-628-4044",
44,https://www.gojobs.go.kr/apmView.do?empmnsn=241156&selMenuNo=400&menuNo=401&upperMenuNo=,2025년 서울특별시선거관리위원회 부속실 기간제근로자 채용,중앙선거관리위원회 서울특별시선거관리위원회,2024-12-20,기간제근로자(행정지원전문직) 1명,해당없음,"첨부파일 채용공고문(부속실 기간제근로자)_게시용.hwp 별지1 ~ 별지4. 지원서류 서식(부속실 행정지원전문직).hwp [서울특별시선거관리위원회 부속실 기간제근로자 채용공고] ○ 모집분야 : 행정지원전문직(비서) ○ 고용형태 : 기간제근로자 ○ 접수기간 : 2024년 12월 13일 ~ 2024년 12월 20일 18:00 ○ 근로기간 : 2025. 1. 2. ~ 2025. 12. 31. ○ 근무시간 및 수행업무 : 1일 8시간/ 주 5일 근무, 부속실 비서 및 행정업무 ○ 보 수 : 1일당 90,080원(중식 및 교통비 포함) ○ 응시방법 : 전자메일(seoul4227@nec.go.kr) 또는 방문접수(서울특별시 종로구 창경궁로 215, 서울특별시선거관리위원회 4층 총무과) ○ 문의처 : 02-741-4226, 02-741-4227 (총무과 송기윤) * 기타 필요한 사항 및 지원서식은 첨부된 파일을 참고하여 주시기 바랍니다.",
